Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Notes,Brand,Best_For,Image_Url,Deal_Stat,Deal_Link,Budget,Final_Budget,Rate_From_10,Type
"EGP 32,899.00",Lenovo LOQ 15IAX9,"Intel® Core™ i5-12450HX, 8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB",NVIDIA® GeForce RTX™ 2050 4GB GDDR6,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-2050-4gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl425.png,In stock,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-2050-4gb-15-6-fhd-luna-grey.html,Low,"EGP 32,899.00 'Low'",-,Deal
"EGP 62,199.00",Lenovo LOQ 15IRX9,"Intel® Core™ i7-14700HX, 20C (8P + 12E) / 28T, P-core 2.1 / 5.5GHz, E-core 1.5 / 3.9GHz, 33MB",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,16 GB,Unspecified,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-14700hx-16gb-1tb-ssd-nvidiar-geforcetm-rtx-4060-8gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl457-1_1_1.png,In stock,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-14700hx-16gb-1tb-ssd-nvidiar-geforcetm-rtx-4060-8gb-15-6-fhd-luna-grey.html,High/Extreme-High,"EGP 62,199.00 'High/Extreme-High'",-,Deal
"EGP 35,199.00",Lenovo LOQ 15IAX9,"Intel® Core™ i5-12450HX, 8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl425_1.png,In stock,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,Low,"EGP 35,199.00 'Low'",-,Deal
"EGP 46,999.00",Lenovo LOQ 15IRX9,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,In stock",Lenovo,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl457-1.png,In stock,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,Medium,"EGP 46,999.00 'Medium'",-,Deal
"EGP 179,999.00",GU605MY-QR061W,"Intel® Core™ Ultra 9 Processor 185H 2.3 GHz (24MB Cache, up to 5.1 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU",NVIDIA® GeForce RTX™ 4090 16GB,32 GB,Unspecified,2TB PCIe® 4.0 NVMe™ M.2 Performance SSD,16.0'' 2.5K,"Gaming,https://2b.com.eg/en/asus-rog-zephyrus-g16-gu605my-qr061w-laptop-intelr-ultra-9-185h-32gb-2tb-ssd-nvidiar-geforce-rtx-4090-16gb-16-2-5k-wqxga-win11-gray.html,In stock Only 1 left",Asus,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu318_1.png,In stock Only 1 left,https://2b.com.eg/en/asus-rog-zephyrus-g16-gu605my-qr061w-laptop-intelr-ultra-9-185h-32gb-2tb-ssd-nvidiar-geforce-rtx-4090-16gb-16-2-5k-wqxga-win11-gray.html,High/Extreme-High,"EGP 179,999.00 'High/Extreme-High'",-,Deal
"EGP 44,999.00",Acer Nitro V15 ANV15-51-755S,"13th Gen Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,16 GB,Unspecified,512GB M.2 NVMe™ PCIe® 4.0 SSD,15.6 FHD 1920 x 1080,"Gaming,https://2b.com.eg/en/acer-nitro-v15-anv15-51-755s-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforcer-rtx-4050-6gb-15-6-fhd-black.html,In stock",Acer,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/c/zc564-1.jpg,In stock,https://2b.com.eg/en/acer-nitro-v15-anv15-51-755s-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforcer-rtx-4050-6gb-15-6-fhd-black.html,Medium,"EGP 44,999.00 'Medium'",-,Deal
"EGP 60,599.00",Lenovo LOQ 15IRX9,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtx-4060-8gb-15-6-fhd-luna-grey.html,In stock Only 4 left",Lenovo,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl494.jpg,In stock Only 4 left,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtx-4060-8gb-15-6-fhd-luna-grey.html,High/Extreme-High,"EGP 60,599.00 'High/Extreme-High'",-,Deal
"EGP 44,999.00",MSI Thin 15 B13VE,"13 Gen Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz",NVIDIA® GeForce RTX™ 4050 Laptop GPU 6GB GDDR6,16 GB,Unspecified,512GB NVMe PCIe SSD,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/msi-thin-15-b13ve-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-gray.html,In stock",MSI,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm990_1.jpg,In stock,https://2b.com.eg/en/msi-thin-15-b13ve-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-gray.html,Medium,"EGP 44,999.00 'Medium'",-,Deal
"EGP 27,999.00",MSI Thin 15 B12UCX,"12 Gen Intel® Core™ i5-12450H Processor 12M Cache, up to 4.40 GHz",NVIDIA® GeForce RTX™ 2050 Laptop GPU 4GB GDDR6,8 GB,Unspecified,512GB NVMe PCIe SSD,"15.6"" FHD (1920x1080)","Gaming,https://2b.com.eg/en/msi-thin-15-b12ucx-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforce-rtx-2050-4gb-15-6-fhd-gray.html,In stock",MSI,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm991-1.jpg,In stock,https://2b.com.eg/en/msi-thin-15-b12ucx-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforce-rtx-2050-4gb-15-6-fhd-gray.html,Low,"EGP 27,999.00 'Low'",-,Deal
"EGP 81,099.00",Lenovo Legion 5 Pro 16IRX9,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core 2.2 / 5.2GHz, E-core 1.6 / 3.7GHz, 30MB",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,16 GB,Unspecified,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA (2560x1600)","Gaming,https://2b.com.eg/en/lenovo-legion-5-pro-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tbssd-nvidiar-geforcer-rtx-4060-8gb-16-wuxga-grey.html,In stock",Lenovo,Gaming,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl469-1.jpg,In stock,https://2b.com.eg/en/lenovo-legion-5-pro-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tbssd-nvidiar-geforcer-rtx-4060-8gb-16-wuxga-grey.html,High/Extreme-High,"EGP 81,099.00 'High/Extreme-High'",-,Deal
